# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
HA	gene-HA	TRANSCRIPT_gene-HA	protein_coding	33	17	0	0	0	17	33	0
M1	gene-M1	TRANSCRIPT_gene-M1	protein_coding	7	1	5	5	0	1	7	0
M2	gene-M2	TRANSCRIPT_gene-M2	protein_coding	5	1	7	0	7	1	5	0
NA	gene-NA	TRANSCRIPT_gene-NA	protein_coding	19	17	0	0	0	17	19	0
NEP	gene-NEP	TRANSCRIPT_gene-NEP	protein_coding	3	2	11	0	11	2	3	0
NP	gene-NP	TRANSCRIPT_gene-NP	protein_coding	22	3	1	1	0	3	22	0
NS1	gene-NS1	TRANSCRIPT_gene-NS1	protein_coding	8	5	3	3	0	5	8	0
PA	gene-PA	TRANSCRIPT_gene-PA	protein_coding	37	10	2	2	0	10	37	0
PA-X	gene-PA-X	TRANSCRIPT_gene-PA-X	protein_coding	10	5	34	34	0	5	10	0
PB1	gene-PB1	TRANSCRIPT_gene-PB1	protein_coding	37	1	1	1	0	1	37	0
PB1-F2	gene-PB1-F2	TRANSCRIPT_gene-PB1-F2	protein_coding	0	7	32	32	0	7	0	0
PB2	gene-PB2	TRANSCRIPT_gene-PB2	protein_coding	37	4	1	0	0	4	37	1
